_gold_cui_rank,_gold_cui_score,_gold_name,_text,accuracy,max_accuracy,max_mrr,mrr,~pred_cuis_1.0,~pred_cuis_10.0,~pred_cuis_2.0,~pred_cuis_3.0,~pred_cuis_4.0,~pred_cuis_5.0,~pred_cuis_6.0,~pred_cuis_7.0,~pred_cuis_8.0,~pred_cuis_9.0,~~comm,~~mention_uuid,cos_dist,sentence,cos_rank
1.0,0.922460913658142,Bilateral pleural effusion,bilateral pleural effusions,1.0,1.0,1.0,1.0,C0747635=Bilateral pleural effusion (0.92),C1562298=Disorder of cardiac ventricle (-0.47),C0032227=Pleural effusion (disorder) (0.88),"C0031039=Pericardial effusion, NOS (0.66)",C0747639=Loculated pleural effusion (0.47),C0340003=Other pleural effusion (0.44),C1265808=Loculated effusion (0.10),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (-0.16),C0265135=Acute pericardial effusion (-0.19),C0264547=Pleural effusion associated with hepatic disorder (-0.22),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819297,0.675008000368549,"CXR Small left apical pneumothorax unchanged, , small bilateral pleural effusions increased slightly. .",46936.0
5.0,0.4779923260211945,Aneurysm of common carotid artery,common carotid aneurysm,0.0,0.0,0.2,0.2,C0340639=Carotid artery aneurysm (0.75),C0917996=Cerebral aneurysm (0.14),C0349600=Ruptured aneurysm of posterior inferior cerebellar artery (0.53),C1290398=Cerebral arterial aneurysm (0.52),C0264966=Aneurysm of external carotid artery (0.49),C0264965=Aneurysm of common carotid artery (0.48),C0264967=Aneurysm of internal carotid artery (0.47),C0162871=Abdominal aortic aneurysm (0.36),C0349434=Unruptured aneurysm of posterior inferior cerebellar artery (0.30),C0340659=Carotid artery rupture (0.18),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819298,0.578148571303467,s/ /p p L common carotid aneurysm seizures heart murmur Discharge Condition: :,112571.0
1.0,0.9920035004615784,Seizure,seizures,1.0,1.0,1.0,1.0,C0036572=Seizure (0.99),"C0233407=Disorientation, NOS (-0.84)","C0029944=Overdose, NOS (-0.58)",C0234549=Stress seizure (-0.60),"C0042963=Vomiting, NOS (-0.76)","C1258215=Ileus, NOS (-0.76)",C0422847=Postural seizure (-0.77),C0027497=Nausea NOS (-0.81),"C1540600=Cerebral seizure, NOS (-0.82)",C0234533=Generalised seizure (-0.82),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a819299,0.09447500754701262,s/ /p p L common carotid aneurysm seizures heart murmur Discharge Condition: :,118842.0
1.0,0.6984068155288696,"Infection, NOS",infection,1.0,1.0,1.0,1.0,"C0021311=Infection, NOS (0.70)","C0276447=Rhinovirus infection, NOS (-0.65)","C0243026=Systemic infection, NOS (-0.01)","C0032285=Pneumonia, NOS (-0.10)",C0019693=HIV infection (-0.10),"C0021308=Infarction, NOS (-0.36)","C0332448=Infiltration, NOS (-0.39)","C0018482=Haemophilus infection, NOS (-0.55)",C0517627=Infection status (-0.58),C0596270=Cardiovascular infection (-0.63),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a81929b,0.02118121503715397,No driving for one month 5) ) Monitor wounds for signs of infection. .,130817.0
3.0,0.34013864398002625,Draining wound,drainage,0.0,0.0,0.3333333333333333,0.3333333333333333,C0019080=Haemorrhage (0.67),C0013604=Edema NOS (-0.25),"C0030193=Pain, NOS (0.48)",C0332799=Draining wound (0.34),C0018926=Haematemesis (0.22),"C0332803=Surgical wound, NOS (0.04)","C0010200=Cough, NOS (0.00)",C0027497=Nausea NOS (-0.06),"C0042963=Vomiting, NOS (-0.08)","C0013390=Dysmenorrhea, NOS (-0.08)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a81929d,0.07972013842276877,"These include redness, , drainage or increased pain. .",113833.0
1.0,0.9364354610443116,"Pain, NOS",pain,1.0,1.0,1.0,1.0,"C0030193=Pain, NOS (0.94)","C0004268=Attention, NOS (-0.72)","C0018681=Headache, NOS (0.04)","C0042963=Vomiting, NOS (-0.30)","C0013404=Dyspnea, NOS (-0.36)",C0008031=Chest pain (-0.36),C0000737=Abdominal pain (-0.40),"C0010200=Cough, NOS (-0.49)","C0233407=Disorientation, NOS (-0.69)",C0016199=Flank pain (-0.69),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a81929e,0.08542944901176405,"These include redness, , drainage or increased pain. .",58354.0
1.0,0.9515982270240784,"Surgical wound, NOS",incision,1.0,1.0,1.0,1.0,"C0332803=Surgical wound, NOS (0.95)",C0042345=Varicosities (-0.62),C0332799=Draining wound (0.02),"C0043252=Gunshot wound, NOS (-0.11)","C1265681=Surgical wound, recent (-0.20)","C0000925=Incised wound, NOS (-0.26)","C0041582=Ulcer, NOS (-0.42)","C0003962=Ascites, NOS (-0.43)",C0009938=Contusion (-0.47),C0008031=Chest pain (-0.48),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192a1,0.035615382632704,2) ) May shower over incision and pat dry 3) ) No lifting greater than 10 pounds for 10 weeks 4) ),100578.0
1.0,0.9515982270240784,"Surgical wound, NOS",incision,1.0,1.0,1.0,1.0,"C0332803=Surgical wound, NOS (0.95)",C0042345=Varicosities (-0.62),C0332799=Draining wound (0.02),"C0043252=Gunshot wound, NOS (-0.11)","C1265681=Surgical wound, recent (-0.20)","C0000925=Incised wound, NOS (-0.26)","C0041582=Ulcer, NOS (-0.42)","C0003962=Ascites, NOS (-0.43)",C0009938=Contusion (-0.47),C0008031=Chest pain (-0.48),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192a2,0.013742927995444505,"1) ) No lotions , creams or powders on incision until it has healed. .",125970.0
1.0,0.8738011121749878,"Surgical wound, NOS",wounds,1.0,1.0,1.0,1.0,"C0332803=Surgical wound, NOS (0.87)","C0030193=Pain, NOS (-0.36)","C0043252=Gunshot wound, NOS (0.80)",C0332799=Draining wound (0.63),"C0000925=Incised wound, NOS (0.56)","C0010200=Cough, NOS (-0.14)","C0041582=Ulcer, NOS (-0.16)","C0034642=Rales, NOS (-0.28)","C0028259=Nodule, NOS (-0.31)",C0037284=Skin lesion (-0.36),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/11823-007872-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8192a3,0.06032234690686267,No driving for one month 5) ) Monitor wounds for signs of infection. .,84377.0
1.0,0.9144748449325562,Effusion,effusion,1.0,1.0,1.0,1.0,C0013687=Effusion (0.91),C0264551=Pleurisy with effusion (-0.68),"C0031039=Pericardial effusion, NOS (0.46)",C1265807=Multiple effusions (0.19),C0032227=Pleural effusion (disorder) (0.17),"C0021311=Infection, NOS (-0.30)","C0008350=Cholelithiasis, NOS (-0.37)","C0032285=Pneumonia, NOS (-0.54)",C0013691=Chylous effusion (-0.57),"C0032326=Pneumothorax, NOS (-0.66)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819084,0.1402715650906987,effusion? ? infiltrate? ? __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ UNDERLYING MEDICAL CONDITION: :,99180.0
1.0,0.9257873296737672,"Infiltration, NOS",infiltrate,1.0,1.0,1.0,1.0,"C0332448=Infiltration, NOS (0.93)",C0019080=Haemorrhage (-0.07),"C0021311=Infection, NOS (0.50)","C0004144=Atelectasis, NOS (0.40)","C0008350=Cholelithiasis, NOS (0.32)","C0015376=Extravasation, NOS (0.14)","C0032285=Pneumonia, NOS (0.12)","C0031039=Pericardial effusion, NOS (0.07)","C0032326=Pneumothorax, NOS (0.05)",C0547004=Intermenstrual bleeding - regular (-0.03),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819085,0.12058153311290093,effusion? ? infiltrate? ? __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ UNDERLYING MEDICAL CONDITION: :,11852.0
1.0,0.8032731413841248,"Dyspnea, NOS",shortness of breath,1.0,1.0,1.0,1.0,"C0013404=Dyspnea, NOS (0.80)",C0474453=Dyspnea at rest (-0.84),C0478662=Slowness and poor responsiveness (-0.61),C0085271=Self-injurious behavior (-0.66),C0231859=Harsh breath sounds (-0.75),C0475116=O/E - dyspnea (-0.76),"C0039070=Syncope, NOS (-0.79)",C0149721=Ventricular hypertrophy (& [left]) (-0.81),C0342966=Desaturation of blood (-0.83),C0152113=Rheumatic chorea (-0.83),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819086,0.5669416795881881,83 year old woman with low sats and shortness of breath REASON FOR THIS EXAMINATION: :,114327.0
1.0,0.9144748449325562,Effusion,effusion,1.0,1.0,1.0,1.0,C0013687=Effusion (0.91),C0264551=Pleurisy with effusion (-0.68),"C0031039=Pericardial effusion, NOS (0.46)",C1265807=Multiple effusions (0.19),C0032227=Pleural effusion (disorder) (0.17),"C0021311=Infection, NOS (-0.30)","C0008350=Cholelithiasis, NOS (-0.37)","C0032285=Pneumonia, NOS (-0.54)",C0013691=Chylous effusion (-0.57),"C0032326=Pneumothorax, NOS (-0.66)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819087,0.20452536149763945,effusion? ? infiltrate? ? __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ FINAL REPORT INDICATION: :,15830.0
1.0,0.9257873296737672,"Infiltration, NOS",infiltrate,1.0,1.0,1.0,1.0,"C0332448=Infiltration, NOS (0.93)",C0019080=Haemorrhage (-0.07),"C0021311=Infection, NOS (0.50)","C0004144=Atelectasis, NOS (0.40)","C0008350=Cholelithiasis, NOS (0.32)","C0015376=Extravasation, NOS (0.14)","C0032285=Pneumonia, NOS (0.12)","C0031039=Pericardial effusion, NOS (0.07)","C0032326=Pneumothorax, NOS (0.05)",C0547004=Intermenstrual bleeding - regular (-0.03),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819088,0.10611350782800683,effusion? ? infiltrate? ? __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ FINAL REPORT INDICATION: :,19755.0
1.0,0.69569993019104,"Dyspnea, NOS",shortness of breath,1.0,1.0,1.0,1.0,"C0013404=Dyspnea, NOS (0.70)",C0231807=Dyspnoea on exertion (-0.85),C0342966=Desaturation of blood (-0.74),C0478662=Slowness and poor responsiveness (-0.77),C0475116=O/E - dyspnea (-0.78),C0149721=Ventricular hypertrophy (& [left]) (-0.81),"C0039070=Syncope, NOS (-0.81)",C0085271=Self-injurious behavior (-0.83),C0231859=Harsh breath sounds (-0.84),C0474453=Dyspnea at rest (-0.85),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81908a,0.6434192955554472,83- -y year- -o old woman with hypoxia and shortness of breath. .,70952.0
61.0,-0.9865736365318298,"Hyperaemia, NOS",engorgement,0.0,0.0,0.016393442622950817,0.016393442622950817,"C0302142=Deformity, NOS (-0.64)","C0086439=Hypokinesia, NOS (-0.95)",C0301616=Overexertion NOS (-0.76),"C0042963=Vomiting, NOS (-0.88)","C0043144=Wheezing, NOS (-0.89)","C0004153=Atherosclerosis, NOS (-0.90)","C0011991=Diarrhea, NOS (-0.92)","C0233407=Disorientation, NOS (-0.94)","C0029944=Overdose, NOS (-0.94)","C0020564=Hypertrophy, NOS (-0.94)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81908e,0.10251491979107459,No pulmonary vascular engorgement is identified. .,38783.0
1.0,0.9467509984970092,Pleural effusion (disorder),pleural effusions,1.0,1.0,1.0,1.0,C0032227=Pleural effusion (disorder) (0.95),"C0225778=Pleural fluid, NOS (-0.37)","C0031039=Pericardial effusion, NOS (0.86)",C0747635=Bilateral pleural effusion (0.81),C0747639=Loculated pleural effusion (0.45),C0340003=Other pleural effusion (0.43),C1265808=Loculated effusion (-0.00),C0264547=Pleural effusion associated with hepatic disorder (-0.04),C0265135=Acute pericardial effusion (-0.27),C0013687=Effusion (-0.31),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10124-289890-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81908f,0.5730852716162216,No pleural effusions are clearly seen. .,6729.0
1.0,0.9657849073410034,Coronary artery disease,CORONARY ARTERY DISEASE,1.0,1.0,1.0,1.0,C1956346=Coronary artery disease (0.97),C0003507=Aortic valve stenosis (0.26),C0003504=Aortic valve insufficiency (0.63),C0581375=Double coronary vessel disease (0.58),C0018817=Atrial septal defect (0.52),C0343692=Syphilitic coronary artery disease (0.44),C0007273=Carotid artery disease (0.42),C1290385=Right coronary artery occlusion (0.40),C2733158=Small vessel cerebrovascular disease (0.36),C0546319=Left coronary artery occlusion (0.32),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819693,0.6097794235534771,CORONARY ARTERY DISEASE __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ UNDERLYING MEDICAL CONDITION: :,49548.0
1.0,0.9198939204216005,Coronary artery disease,CAD,1.0,1.0,1.0,1.0,C1956346=Coronary artery disease (0.92),C1303215=Coronary heart disease monitoring deleted (-0.54),C0018817=Atrial septal defect (0.20),C0343692=Syphilitic coronary artery disease (0.19),C0007222=Cardiovascular disease (-0.06),C0038454=Accident - cerebrovascular (-0.18),C0003504=Aortic valve insufficiency (-0.47),C0581375=Double coronary vessel disease (-0.47),C0003972=Atherosclerotic cardiovascular disease (-0.51),C0345136=Left dominant coronary system (-0.52),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819694,-0.03615198267880718,70 year old man with CAD REASON FOR THIS EXAMINATION: :,132539.0
4.0,0.5433382987976074,"Thrombosis, carotid artery",carotid artery thrombosis,0.0,0.0,0.25,0.25,C0155773=Portal vein thrombosis (0.75),C0264691=Right main coronary artery thrombosis (0.38),C0521544=Cerebellar artery thrombosis (0.66),C0750990=Internal carotid artery thrombosis (0.61),"C0007274=Thrombosis, carotid artery (0.54)",C1290385=Right coronary artery occlusion (0.50),C0010072=Thrombosis - coronary (0.48),C0151947=Pulmonary artery thrombosis (0.46),C0265101=Carotid artery occlusion (0.46),C0521543=Cerebellar artery occlusion (0.40),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819695,0.42483263022332535,assess for carotid artery thrombosis __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ FINAL REPORT INDICATION FOR EXAM: :,138483.0
1.0,0.8585495352745056,Coronary artery disease,CAD,1.0,1.0,1.0,1.0,C1956346=Coronary artery disease (0.86),C1303215=Coronary heart disease monitoring deleted (-0.55),C0007222=Cardiovascular disease (0.63),C0026265=Mitral valve disease (-0.19),C0018817=Atrial septal defect (-0.24),C0343692=Syphilitic coronary artery disease (-0.31),C0003972=Atherosclerotic cardiovascular disease (-0.43),C0007273=Carotid artery disease (-0.52),C0038454=Accident - cerebrovascular (-0.52),C0003504=Aortic valve insufficiency (-0.53),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819696,-0.008220783255528264,"This is a 78- -y year- -o old man with CAD, , with suspected carotid artery thrombosis. .",130219.0
1.0,0.561907172203064,"Thrombosis, carotid artery",carotid artery thrombosis,1.0,1.0,1.0,1.0,"C0007274=Thrombosis, carotid artery (0.56)",C0010072=Thrombosis - coronary (0.30),C0521544=Cerebellar artery thrombosis (0.55),C0750990=Internal carotid artery thrombosis (0.52),C0155773=Portal vein thrombosis (0.44),C0265101=Carotid artery occlusion (0.42),C0574012=Subclavian artery thrombosis (0.36),C1290385=Right coronary artery occlusion (0.34),C0521543=Cerebellar artery occlusion (0.31),C0340569=Internal carotid artery stenosis (0.30),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819697,0.6926595741362294,"This is a 78- -y year- -o old man with CAD, , with suspected carotid artery thrombosis. .",11635.0
1.0,0.6984918713569641,Internal carotid artery stenosis,internal carotid artery stenosis,1.0,1.0,1.0,1.0,C0340569=Internal carotid artery stenosis (0.70),C1290385=Right coronary artery occlusion (0.26),C0264967=Aneurysm of internal carotid artery (0.46),C0265101=Carotid artery occlusion (0.44),C0264966=Aneurysm of external carotid artery (0.41),C0158698=Congenital malformation of the urinary system (0.35),C0917804=Cerebral arteriovenous malformation (0.32),C0003507=Aortic valve stenosis (0.30),C0028790=Cerebral artery occlusion (0.29),C0007273=Carotid artery disease (0.26),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819698,0.668445549174085,"No evidence of internal carotid artery stenosis on either side, , in their extracranial portion. .",87520.0
1.0,0.8585495352745056,Coronary artery disease,CAD,1.0,1.0,1.0,1.0,C1956346=Coronary artery disease (0.86),C1303215=Coronary heart disease monitoring deleted (-0.55),C0007222=Cardiovascular disease (0.63),C0026265=Mitral valve disease (-0.19),C0018817=Atrial septal defect (-0.24),C0343692=Syphilitic coronary artery disease (-0.31),C0003972=Atherosclerotic cardiovascular disease (-0.43),C0007273=Carotid artery disease (-0.52),C0038454=Accident - cerebrovascular (-0.52),C0003504=Aortic valve insufficiency (-0.53),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/16660-199016-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819699,0.06152359837232249,"CAD, , PREOP CABG AND VALVE REPAIR Admitting Diagnosis: :",31328.0
1.0,0.972444236278534,Ventricular hypertrophy (& [left]),LVH,1.0,1.0,1.0,1.0,C0149721=Ventricular hypertrophy (& [left]) (0.97),C0344720=Left atrial dilatation (-0.46),C0162770=Right ventricular hypertrophy (0.80),C0340278=Atrial hypertrophy (0.64),C0333964=Eccentric hypertrophy (0.46),C1997092=Hypertensive left ventricular hypertrophy (0.05),C0027051=Myocardial infarction (-0.33),C0003811=Cardiac arrhythmia (-0.35),C1535063=(Cardiomegaly) or (ventricular hypertrophy (& left)) (-0.37),C1383860=Cardiac hypertrophy NOS (-0.42),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81958b,0.06292487524980939,Mild symmetric LVH. .,20848.0
1.0,0.8898794651031494,Aortic valve stenosis,AS,1.0,1.0,1.0,1.0,C0003507=Aortic valve stenosis (0.89),C0577870=Aortic valve vegetations (-0.57),C0003504=Aortic valve insufficiency (0.84),C0018817=Atrial septal defect (-0.05),C0026266=Mitral valve insufficiency (-0.18),C0349073=Aortic valve stenosis with insufficiency (-0.18),C0040961=Tricuspid valve insufficiency (-0.27),C0034089=Pulmonary valve stenosis (-0.36),C0034088=Pulmonary valve insufficiency (-0.43),C0264878=Heart valve stenosis (-0.47),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81958d,0.13238082768884943,No AS. .,2258.0
1.0,0.995292067527771,Aortic valve insufficiency,AR,1.0,1.0,1.0,1.0,C0003504=Aortic valve insufficiency (1.00),C0026265=Mitral valve disease (-0.59),C0026266=Mitral valve insufficiency (0.99),C0040961=Tricuspid valve insufficiency (0.98),C0034088=Pulmonary valve insufficiency (0.82),C0003507=Aortic valve stenosis (0.65),C0026269=Mitral valve stenosis (-0.39),C0349073=Aortic valve stenosis with insufficiency (-0.39),C0577790=Aortic valve normal (-0.40),C0003834=Arterial insufficiency (-0.56),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81958e,0.05595542087449197,No AR. .,14577.0
1.0,0.985559105873108,Mitral valve insufficiency,MR,1.0,1.0,1.0,1.0,C0026266=Mitral valve insufficiency (0.99),C0149721=Ventricular hypertrophy (& [left]) (-0.87),C0040961=Tricuspid valve insufficiency (0.98),C0003504=Aortic valve insufficiency (0.93),C0034088=Pulmonary valve insufficiency (0.64),C0027051=Myocardial infarction (0.43),C0003811=Cardiac arrhythmia (-0.71),C0232352=Vascular insufficiency (-0.82),C0026265=Mitral valve disease (-0.83),C0003834=Arterial insufficiency (-0.86),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81958f,0.0240110671652543,Normal mitral valve leaflets with trivial MR. .,69866.0
5.0,0.8791406154632568,Mitral valve prolapse syndrome,MVP,0.0,0.0,0.2,0.2,C0003504=Aortic valve insufficiency (0.95),C0034088=Pulmonary valve insufficiency (0.54),C0149721=Ventricular hypertrophy (& [left]) (0.93),C0026266=Mitral valve insufficiency (0.93),C0040961=Tricuspid valve insufficiency (0.91),C0026267=Mitral valve prolapse syndrome (0.88),C0027051=Myocardial infarction (0.84),C0018817=Atrial septal defect (0.70),C0040962=Tricuspid valve prolapse (0.60),C0003811=Cardiac arrhythmia (0.57),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819590,0.00827242532082521,No MVP. .,126813.0
1.0,0.9972465634346008,Tricuspid valve insufficiency,TR,1.0,1.0,1.0,1.0,C0040961=Tricuspid valve insufficiency (1.00),C0040962=Tricuspid valve prolapse (-0.50),C0026266=Mitral valve insufficiency (1.00),C0003504=Aortic valve insufficiency (0.99),C0034088=Pulmonary valve insufficiency (0.95),C0027051=Myocardial infarction (0.14),C0003834=Arterial insufficiency (-0.08),C0003507=Aortic valve stenosis (-0.10),C0232352=Vascular insufficiency (-0.36),C0026269=Mitral valve stenosis (-0.46),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819591,-0.023811281557983968,Normal tricuspid valve leaflets with trivial TR. .,97339.0
1.0,0.8950087428092957,Systolic hypertension,systolic hypertension,1.0,1.0,1.0,1.0,C0221155=Systolic hypertension (0.90),C1997276=Exertional hypertension (-0.68),C0235222=Diastolic hypertension (0.22),C1998407=Systolic essential hypertension (-0.51),C0018036=Goldblatt hypertension (-0.55),"C0020538=Hypertensive disease, NOS (-0.62)","C0031039=Pericardial effusion, NOS (-0.63)",C1997092=Hypertensive left ventricular hypertrophy (-0.66),C0020542=Pulmonary hypertension (-0.66),C0149721=Ventricular hypertrophy (& [left]) (-0.68),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819592,0.5858579991921682,Moderate PA systolic hypertension. .,10898.0
1.0,0.989463984966278,Pulmonary valve insufficiency,PR,1.0,1.0,1.0,1.0,C0034088=Pulmonary valve insufficiency (0.99),C0018817=Atrial septal defect (-0.39),C0003504=Aortic valve insufficiency (0.99),C0026266=Mitral valve insufficiency (0.98),C0040961=Tricuspid valve insufficiency (0.98),C0027051=Myocardial infarction (0.44),C0003834=Arterial insufficiency (0.02),C0003507=Aortic valve stenosis (-0.00),"C1260873=Aortic valve disorder, NOS (-0.23)",C0034089=Pulmonary valve stenosis (-0.29),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819593,0.034035694569439924,Normal pulmonic valve leaflets with physiologic PR. .,47284.0
1.0,0.9818970561027528,"Pericardial effusion, NOS",pericardial effusion,1.0,1.0,1.0,1.0,"C0031039=Pericardial effusion, NOS (0.98)","C1260873=Aortic valve disorder, NOS (-0.63)",C0032227=Pleural effusion (disorder) (0.45),C0747635=Bilateral pleural effusion (0.31),C0265135=Acute pericardial effusion (0.05),C0027051=Myocardial infarction (-0.05),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (-0.11),"C0007177=Tamponade, cardiac (-0.48)",C0349077=Pericardial effusion - noninflammatory (-0.55),C0340442=Other pericardial disease NOS (-0.62),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/15770-109559-ECHO_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819595,0.4567733453098473,Small to moderate pericardial effusion. .,117943.0
